"evaluation_id","profile_id","profile_name","job_id","job_title","company","analysis_rank","vector_rank","vector_similarity","system_category","evidence_level","confidence","detected_role","detected_seniority","matched_skills","missing_critical_skills","missing_secondary_skills","transferable_skills","suggested_rerank_rank","suggested_rank_delta","rerank_warnings","human_label","human_notes","is_false_positive","is_false_negative_candidate","needs_review"
"P2-J14-R1","2","DIAG - Backend Senior Java Cloud","14","Software Engineer Backend - Platform Security","Mercado Libre","1","1","0.6459580659866333","GOOD_MATCH_WITH_MINOR_GAPS","WORK_EXPERIENCE","HIGH","BACKEND","UNKNOWN","Java; REST","","","{""from"":""Backend"",""to"":""Cloud"",""strength"":""PARTIAL"",""reason"":""experiencia backend ayuda a operar servicios en cloud""}","1","0","","","","","",""
"P2-J13-R2","2","DIAG - Backend Senior Java Cloud","13","Desarrollador de base de datos","Softtek","2","2","0.6017380952835083","TRANSFERABLE_OPPORTUNITY","WORK_EXPERIENCE","MEDIUM","DATABASE","SENIOR","PostgreSQL","Oracle; SQL; SQL Server","Azure","{""from"":""Backend"",""to"":""Cloud"",""strength"":""PARTIAL"",""reason"":""experiencia backend ayuda a operar servicios en cloud""}","3","-1","","","","","",""
"P2-J4-R3","2","DIAG - Backend Senior Java Cloud","4","Soporte a aplicaciones","PwC","3","3","0.5925107774886723","LEARNING_ROADMAP_ONLY","NO_EVIDENCE","LOW","APP_SUPPORT","UNKNOWN","","","SQL","","4","-1","","","","","",""
"P2-J1-R4","2","DIAG - Backend Senior Java Cloud","1","Talentos IT","La Segunda Seguros CLSG","4","4","0.5909215387976631","ASPIRATIONAL_MATCH","WORK_EXPERIENCE","MEDIUM","DATABASE","SENIOR","Java","Angular; Node.js","Oracle; PL/SQL; SQL","","2","2","","","","","",""
"P2-J7-R5","2","DIAG - Backend Senior Java Cloud","7","Analista de Soporte","Confidential","5","5","0.5760869979858398","GOOD_MATCH_WITH_MINOR_GAPS","WORK_EXPERIENCE","MEDIUM","IT_SUPPORT","UNKNOWN","Linux","","","","5","0","","","","","",""
"P2-J10-R6","2","DIAG - Backend Senior Java Cloud","10","Application Support","Avenga","6","6","0.5709544164511223","TRANSFERABLE_OPPORTUNITY","WORK_EXPERIENCE","MEDIUM","APP_SUPPORT","SENIOR","Kubernetes","ITSM","ITIL; JBoss; SQL; SQL Server; Windows Server","{""from"":""Backend"",""to"":""Cloud"",""strength"":""PARTIAL"",""reason"":""experiencia backend ayuda a operar servicios en cloud""}","6","0","","","","","",""
"P2-J8-R7","2","DIAG - Backend Senior Java Cloud","8","Technical Support Jr.","Acciona IT","7","7","0.5680232048034668","LEARNING_ROADMAP_ONLY","NO_EVIDENCE","LOW","IT_SUPPORT","MID","","","Windows Server","","7","0","","","","","",""
"P2-J20-R8","2","DIAG - Backend Senior Java Cloud","20","Application Security IT Risk Reviewer","PwC","8","8","0.5460053356882739","LOW_FIT","NO_EVIDENCE","LOW","SECURITY_OPS","SENIOR","","","","","8","0","","","","","",""
"P2-J3-R9","2","DIAG - Backend Senior Java Cloud","3","IAM Engineer","Randstad Argentina","9","9","0.5457020672737329","LOW_FIT","WORK_EXPERIENCE","MEDIUM","IAM","SENIOR","Git; REST","IAM","ITIL; ITSM; OAuth; OIDC; Oracle; PowerShell; Ruby; SAML; SQL; SQL Server","","9","0","","","","","",""
"P2-J6-R10","2","DIAG - Backend Senior Java Cloud","6","Analista Soporte TÃ©cnico (Turno Noche)","Empresa Confidencial","10","10","0.5319014470635992","LOW_FIT","NO_EVIDENCE","LOW","IT_SUPPORT","MID","","","","","10","0","","","","","",""
"P3-J14-R1","3","DIAG - Backend Strong Partial DevOps Transfer","14","Software Engineer Backend - Platform Security","Mercado Libre","1","1","0.6560453772544861","GOOD_MATCH_WITH_MINOR_GAPS","WORK_EXPERIENCE","HIGH","BACKEND","UNKNOWN","Java; REST","","","{""from"":""Backend"",""to"":""Cloud"",""strength"":""PARTIAL"",""reason"":""experiencia backend ayuda a operar servicios en cloud""}","1","0","","","","","",""
"P3-J13-R2","3","DIAG - Backend Strong Partial DevOps Transfer","13","Desarrollador de base de datos","Softtek","2","2","0.6197257041931152","TRANSFERABLE_OPPORTUNITY","WORK_EXPERIENCE","MEDIUM","DATABASE","SENIOR","PostgreSQL","Oracle; SQL; SQL Server","Azure","{""from"":""Backend"",""to"":""Cloud"",""strength"":""PARTIAL"",""reason"":""experiencia backend ayuda a operar servicios en cloud""}","3","-1","","","","","",""
"P3-J1-R3","3","DIAG - Backend Strong Partial DevOps Transfer","1","Talentos IT","La Segunda Seguros CLSG","3","3","0.6035782278650473","ASPIRATIONAL_MATCH","WORK_EXPERIENCE","MEDIUM","DATABASE","SENIOR","Java","Angular; Node.js","Oracle; PL/SQL; SQL","","2","1","","","","","",""
"P3-J4-R4","3","DIAG - Backend Strong Partial DevOps Transfer","4","Soporte a aplicaciones","PwC","4","4","0.5800768309854519","ASPIRATIONAL_MATCH","NO_EVIDENCE","MEDIUM","APP_SUPPORT","UNKNOWN","","","SQL","","4","0","","","","","",""
"P3-J10-R5","3","DIAG - Backend Strong Partial DevOps Transfer","10","Application Support","Avenga","5","5","0.5622524358184607","TRANSFERABLE_OPPORTUNITY","WORK_EXPERIENCE","MEDIUM","APP_SUPPORT","SENIOR","Kubernetes","ITSM","ITIL; JBoss; SQL; SQL Server; Windows Server","{""from"":""Backend"",""to"":""Cloud"",""strength"":""PARTIAL"",""reason"":""experiencia backend ayuda a operar servicios en cloud""}","5","0","","","","","",""
"P3-J20-R6","3","DIAG - Backend Strong Partial DevOps Transfer","20","Application Security IT Risk Reviewer","PwC","6","6","0.5567554499652724","LOW_FIT","NO_EVIDENCE","LOW","SECURITY_OPS","SENIOR","","","","","6","0","","","","","",""
"P3-J7-R7","3","DIAG - Backend Strong Partial DevOps Transfer","7","Analista de Soporte","Confidential","7","7","0.5542709827423096","GOOD_MATCH_WITH_MINOR_GAPS","WORK_EXPERIENCE","MEDIUM","IT_SUPPORT","UNKNOWN","Linux","","","","7","0","","","","","",""
"P3-J15-R8","3","DIAG - Backend Strong Partial DevOps Transfer","15","Analista Programador","IntÄgrity Seguros","8","8","0.5439057350158691","TRANSFERABLE_OPPORTUNITY","TRANSFERABLE","MEDIUM","DOTNET_FULLSTACK","UNKNOWN","","",".NET; C#; JavaScript; Oracle; PL/SQL; React; SQL","{""from"":""Java"",""to"":""C#"",""strength"":""PARTIAL"",""reason"":""base orientada a objetos transferible""}","8","0","","","","","",""
"P3-J8-R9","3","DIAG - Backend Strong Partial DevOps Transfer","8","Technical Support Jr.","Acciona IT","9","9","0.539888858795166","LEARNING_ROADMAP_ONLY","NO_EVIDENCE","LOW","IT_SUPPORT","MID","","","Windows Server","","9","0","","","","","",""
"P3-J21-R10","3","DIAG - Backend Strong Partial DevOps Transfer","21","AI Chatbot Tester","Alignerr","10","10","0.5304415822029114","LOW_FIT","NO_EVIDENCE","LOW","UNKNOWN","UNKNOWN","","","","","10","0","Rol no determinado; no conviene usar reranking para tapar este caso.","","","","",""
"P4-J8-R1","4","DIAG - IT Support Analyst Junior","8","Technical Support Jr.","Acciona IT","1","1","0.6512377677872504","GOOD_MATCH_WITH_MINOR_GAPS","MENTIONED_ONLY","MEDIUM","IT_SUPPORT","MID","Windows Server","","","","1","0","","","","","",""
"P4-J7-R2","4","DIAG - IT Support Analyst Junior","7","Analista de Soporte","Confidential","2","2","0.6429890223754663","GOOD_MATCH_WITH_MINOR_GAPS","MENTIONED_ONLY","MEDIUM","IT_SUPPORT","UNKNOWN","Linux","","","","2","0","","","","","",""
"P4-J4-R3","4","DIAG - IT Support Analyst Junior","4","Soporte a aplicaciones","PwC","3","3","0.6311398180300231","GOOD_MATCH_WITH_MINOR_GAPS","MENTIONED_ONLY","MEDIUM","APP_SUPPORT","UNKNOWN","SQL","","","","3","0","","","","","",""
"P4-J6-R4","4","DIAG - IT Support Analyst Junior","6","Analista Soporte TÃ©cnico (Turno Noche)","Empresa Confidencial","4","4","0.6289973922376538","ASPIRATIONAL_MATCH","NO_EVIDENCE","MEDIUM","IT_SUPPORT","MID","","","","","5","-1","","","","","",""
"P4-J20-R5","4","DIAG - IT Support Analyst Junior","20","Application Security IT Risk Reviewer","PwC","5","5","0.6203665816128417","LOW_FIT","NO_EVIDENCE","LOW","SECURITY_OPS","SENIOR","","","","","6","-1","","","","","",""
"P4-J12-R6","4","DIAG - IT Support Analyst Junior","12","Soporte de APPs Mesa de ayuda APPS SSR Pilar","YEL Solutions","6","6","0.6124105088466201","GOOD_MATCH_WITH_MINOR_GAPS","MENTIONED_ONLY","MEDIUM","APP_SUPPORT","MID","ITIL; SQL","","ITSM","","4","2","","","","","",""
"P4-J15-R7","4","DIAG - IT Support Analyst Junior","15","Analista Programador","IntÄgrity Seguros","7","7","0.5806099676358779","ASPIRATIONAL_MATCH","MENTIONED_ONLY","MEDIUM","DOTNET_FULLSTACK","UNKNOWN","SQL","",".NET; C#; JavaScript; Oracle; PL/SQL; React","","8","-1","","","","","",""
"P4-J2-R8","4","DIAG - IT Support Analyst Junior","2","ANALISTA FUNCIONAL TIC â Bioter S.A.","BIOTER S.A.","8","8","0.5757370500878077","ASPIRATIONAL_MATCH","MENTIONED_ONLY","MEDIUM","DATA","MID","SQL","","","","9","-1","","","","","",""
"P4-J10-R9","4","DIAG - IT Support Analyst Junior","10","Application Support","Avenga","9","9","0.5735377923525787","ASPIRATIONAL_MATCH","MENTIONED_ONLY","MEDIUM","APP_SUPPORT","SENIOR","ITIL; SQL; Windows Server","ITSM","JBoss; Kubernetes; SQL Server","{""from"":""SQL"",""to"":""SQL Server"",""strength"":""STRONG"",""reason"":""fundamentos SQL transferibles a SQL Server""}","7","2","","","","","",""
"P4-J5-R10","4","DIAG - IT Support Analyst Junior","5","Junior Support & Training â Customer Success","Loyal Guru","10","10","0.5666507065324722","ASPIRATIONAL_MATCH","NO_EVIDENCE","MEDIUM","SECURITY_OPS","JUNIOR","","","","","10","0","Posible deteccion dudosa de rol: Customer Success/Training clasificado como SECURITY_OPS.","","","","",""
"P5-J13-R1","5","DIAG - Data BI SQL Profile","13","Desarrollador de base de datos","Softtek","1","1","0.5323143005371094","ASPIRATIONAL_MATCH","PROJECT","MEDIUM","DATABASE","SENIOR","PostgreSQL; SQL; SQL Server","Oracle","Azure","","3","-2","","","","","",""
"P5-J2-R2","5","DIAG - Data BI SQL Profile","2","ANALISTA FUNCIONAL TIC â Bioter S.A.","BIOTER S.A.","2","2","0.5217443704605103","GOOD_MATCH_WITH_MINOR_GAPS","PROJECT","MEDIUM","DATA","MID","SQL","","","","4","-2","","","","","",""
"P5-J15-R3","5","DIAG - Data BI SQL Profile","15","Analista Programador","IntÄgrity Seguros","3","3","0.5209120512008667","ASPIRATIONAL_MATCH","PROJECT","MEDIUM","DOTNET_FULLSTACK","UNKNOWN","SQL","",".NET; C#; JavaScript; Oracle; PL/SQL; React","","5","-2","","","","","",""
"P5-J4-R4","5","DIAG - Data BI SQL Profile","4","Soporte a aplicaciones","PwC","4","4","0.5103520903096228","ASPIRATIONAL_MATCH","PROJECT","MEDIUM","APP_SUPPORT","UNKNOWN","SQL","","","","6","-2","","","","","",""
"P5-J20-R5","5","DIAG - Data BI SQL Profile","20","Application Security IT Risk Reviewer","PwC","5","5","0.5081829721818591","ASPIRATIONAL_MATCH","NO_EVIDENCE","MEDIUM","SECURITY_OPS","SENIOR","","","","","7","-2","","","","","",""
"P5-J7-R6","5","DIAG - Data BI SQL Profile","7","Analista de Soporte","Confidential","6","6","0.5034180879592896","ASPIRATIONAL_MATCH","NO_EVIDENCE","MEDIUM","IT_SUPPORT","UNKNOWN","","","Linux","","8","-2","","","","","",""
"P5-J12-R7","5","DIAG - Data BI SQL Profile","12","Soporte de APPs Mesa de ayuda APPS SSR Pilar","YEL Solutions","7","7","0.4973384438358819","ASPIRATIONAL_MATCH","PROJECT","MEDIUM","APP_SUPPORT","MID","SQL","","ITIL; ITSM","","9","-2","","","","","",""
"P5-J5-R8","5","DIAG - Data BI SQL Profile","5","Junior Support & Training â Customer Success","Loyal Guru","8","8","0.4954380693770615","LOW_FIT","NO_EVIDENCE","LOW","SECURITY_OPS","JUNIOR","","","","","10","-2","Posible deteccion dudosa de rol: Customer Success/Training clasificado como SECURITY_OPS.","","","","",""
"P5-J16-R9","5","DIAG - Data BI SQL Profile","16","Consultor de IA para HR","Confidential","9","9","0.48869287967681885","GOOD_MATCH_WITH_MINOR_GAPS","PROJECT","HIGH","DATA","UNKNOWN","Python; SQL","","","","1","8","","","","","",""
"P5-J10-R10","5","DIAG - Data BI SQL Profile","10","Application Support","Avenga","10","10","0.48618644393601773","ASPIRATIONAL_MATCH","PROJECT","MEDIUM","APP_SUPPORT","SENIOR","SQL; SQL Server","ITSM","ITIL; JBoss; Kubernetes; Windows Server","","11","-1","","","","","",""
"P6-J14-R1","6","DIAG - Backend Trainee Projects","14","Software Engineer Backend - Platform Security","Mercado Libre","1","1","0.641848702485821","GOOD_MATCH_WITH_MINOR_GAPS","PROJECT","HIGH","BACKEND","UNKNOWN","Java; REST","","","{""from"":""Backend"",""to"":""Cloud"",""strength"":""PARTIAL"",""reason"":""experiencia backend ayuda a operar servicios en cloud""}","1","0","","","","","",""
"P6-J1-R2","6","DIAG - Backend Trainee Projects","1","Talentos IT","La Segunda Seguros CLSG","2","2","0.5885864847055963","LEARNING_ROADMAP_ONLY","PROJECT","MEDIUM","DATABASE","SENIOR","Java","Angular; Node.js","Oracle; PL/SQL; SQL","","2","0","","","","","",""
"P6-J13-R3","6","DIAG - Backend Trainee Projects","13","Desarrollador de base de datos","Softtek","3","3","0.575028436631812","LEARNING_ROADMAP_ONLY","PROJECT","MEDIUM","DATABASE","SENIOR","PostgreSQL","Oracle; SQL; SQL Server","Azure","{""from"":""Backend"",""to"":""Cloud"",""strength"":""PARTIAL"",""reason"":""experiencia backend ayuda a operar servicios en cloud""}","3","0","","","","","",""
"P6-J4-R4","6","DIAG - Backend Trainee Projects","4","Soporte a aplicaciones","PwC","4","4","0.5535003872812025","ASPIRATIONAL_MATCH","NO_EVIDENCE","MEDIUM","APP_SUPPORT","UNKNOWN","","","SQL","","4","0","","","","","",""
"P6-J8-R5","6","DIAG - Backend Trainee Projects","8","Technical Support Jr.","Acciona IT","5","5","0.5498128101173884","LEARNING_ROADMAP_ONLY","NO_EVIDENCE","LOW","IT_SUPPORT","MID","","","Windows Server","","5","0","","","","","",""
"P6-J5-R6","6","DIAG - Backend Trainee Projects","5","Junior Support & Training â Customer Success","Loyal Guru","6","6","0.5407557326330048","LOW_FIT","NO_EVIDENCE","LOW","SECURITY_OPS","JUNIOR","","","","","6","0","Posible deteccion dudosa de rol: Customer Success/Training clasificado como SECURITY_OPS.","","","","",""
"P6-J17-R7","6","DIAG - Backend Trainee Projects","17","Technology OpS Support Practitioner","Accenture Argentina","7","7","0.5288590631228985","LOW_FIT","NO_EVIDENCE","LOW","IT_SUPPORT","UNKNOWN","","","","","7","0","","","","","",""
"P6-J20-R8","6","DIAG - Backend Trainee Projects","20","Application Security IT Risk Reviewer","PwC","8","8","0.52599178177143","LOW_FIT","NO_EVIDENCE","LOW","SECURITY_OPS","SENIOR","","","","","8","0","","","","","",""
